script,title,link
中国外交部.py,国家主席习近平任免驻外大使,https://www.fmprc.gov.cn/zyxw/202601/t20260112_11810790.shtml
中国外交部.py,王毅同志慰问中国驻索马里使馆全体同志,https://www.fmprc.gov.cn/wjbzhd/202601/t20260112_11810691.shtml
中国外交部.py,王毅同志慰问中国驻索马里使馆全体同志,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202601/t20260112_11810691.shtml
中国外交部.py,加拿大总理卡尼将访华,https://www.fmprc.gov.cn/wjdt_674879/wsrc_674883/202601/t20260112_11810904.shtml
中国外交部.py,王毅同志慰问中国驻索马里使馆全体同志,https://www.fmprc.gov.cn/wjdt_674879/wjbxw_674885/202601/t20260112_11810691.shtml
中国外交部.py,国家主席习近平任免驻外大使,https://www.fmprc.gov.cn/wjdt_674879/dsrm_674893/202601/t20260112_11810790.shtml
中国外交部.py,驻塞内加尔大使李志刚出席“中非人文交流年”庆祝活动,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202601/t20260112_11810994.shtml
中国外交部.py,驻塞内加尔大使李志刚出席“中非人文交流年”庆祝活动,https://www.fmprc.gov.cn/zwbd_673032/whjl/202601/t20260112_11810994.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,Courtesy Call on President of Israel Isaac Herzog by Foreign Minister MOTEGI,https://www.mofa.go.jp/me_a/me1/il/pageite_000001_00003.html
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,Strengthening the U.S.-India Partnership: A Fireside Chat with Reps. Rich McCormick and Ami Bera,https://www.csis.org/events/strengthening-us-india-partnership-fireside-chat-reps-rich-mccormick-and-ami-bera
战略与国际研究中心.py,"Next Steps for the U.S.-Japan Alliance: Deterrence, Cybersecurity, and Indo-Pacific Partnerships",https://www.csis.org/events/next-steps-us-japan-alliance-deterrence-cybersecurity-and-indo-pacific-partnerships
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,Phó Thủ tướng Thường trực Chính phủ Nguyễn Hòa Bình hội kiến Phó Thủ tướng Singapore Gan Kim Yong,https://mofa.gov.vn/vi/tin-chi-tiet/chi-tiet/pho-thu-tuong-thuong-truc-chinh-phu-nguyen-hoa-binh-hoi-kien-pho-thu-tuong-singapore-gan-kim-yong-58358-139.html
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
